GAIADR3_ID,LAMOSTDR9_OBSID,C_F1,eC_F1,C_F2,eC_F2,C_F3,eC_F3,C_F4,eC_F4,C_F5,eC_F5,C_F6,eC_F6,C_F7,eC_F7,C_F8,eC_F8,C_F9,eC_F9,C_F10,eC_F10,PLXcorr,PLXerr,Bpmag,Bperr,Rpmag,Rperr,BpRp,MRp,CarbonMedian,CarbonMAD,Visual Inspection
200596448177152,212054,11.006,0.18,2.369,0.047,1.674,0.071,2.222,0.087,-0.832,0.104,-2.358,0.081,1.416,0.054,2.722,0.044,2.24,0.03,2.593,0.024,1.787,0.023,10.308,0.001,8.907,0.0,1.401,0.168,0.973,0.038,no inspected
403868660465408,483008067,9.564,0.313,2.883,0.067,2.104,0.1,1.592,0.152,-0.651,0.19,-2.631,0.124,0.834,0.076,1.987,0.068,2.009,0.048,2.206,0.045,0.974,0.017,11.814,0.001,10.474,0.001,1.34,0.416,0.985,0.021,no inspected
945859173324800,483013207,9.32,4.18,2.454,0.681,1.029,0.702,1.749,0.811,-0.522,0.923,-1.799,0.644,0.805,0.44,2.117,0.405,2.101,0.328,2.456,0.291,1.652,0.018,10.316,0.001,8.916,0.0,1.401,0.005,0.902,0.145,no inspected
1854296296158720,300016028,9.527,2.518,2.046,0.524,1.889,0.775,3.02,0.951,0.436,1.033,-1.069,0.888,1.343,0.669,1.968,0.517,1.817,0.438,1.857,0.352,0.576,0.016,14.048,0.001,12.839,0.001,1.208,1.643,1.0,0.0,no inspected
1854296296158720,374301099,9.178,1.652,2.164,0.381,2.38,0.499,3.02,0.518,0.564,0.677,-2.033,0.469,0.82,0.342,1.688,0.283,1.647,0.219,1.955,0.202,0.576,0.016,14.048,0.001,12.839,0.001,1.208,1.643,0.999,0.001,no inspected
2452014009584640,58403058,12.235,0.526,2.439,0.097,2.373,0.156,3.157,0.192,-0.264,0.195,-1.441,0.151,1.089,0.075,2.167,0.059,2.064,0.041,2.404,0.038,1.594,0.02,10.78,0.001,9.329,0.001,1.451,0.341,1.0,0.0,no inspected
3181784787901568,58416213,12.97,3.61,2.055,0.733,1.269,0.931,3.737,1.518,-0.254,1.379,-2.323,1.063,1.191,0.802,2.736,0.701,2.286,0.536,2.782,0.544,1.12,0.015,11.557,0.001,9.96,0.001,1.597,0.206,0.999,0.002,no inspected
7616974176259712,374311059,10.663,0.42,2.237,0.096,1.398,0.144,3.31,0.175,-0.926,0.178,-2.465,0.161,0.582,0.085,2.282,0.074,1.77,0.048,2.239,0.048,0.633,0.016,12.498,0.001,10.849,0.0,1.649,-0.143,0.621,0.513,no inspected
8815338771409664,76204172,0.0,0.0,0.0,0.0,1.967,2.415,2.364,2.349,-1.014,1.729,-4.391,1.289,1.187,0.769,2.642,0.566,2.031,0.372,2.479,0.318,1.553,0.024,10.843,0.002,9.193,0.001,1.649,0.15,0.591,0.607,no inspected
11557211533499904,313614245,8.39,0.521,2.112,0.142,1.481,0.169,2.285,0.191,-0.687,0.189,-1.865,0.176,0.687,0.089,1.868,0.081,1.718,0.054,2.015,0.052,1.187,0.019,11.78,0.002,10.155,0.001,1.626,0.526,0.748,0.371,no inspected
